Address,Name,Roll No,DegreeLevel,DepartmentName,GENDER
"Multigardens Zoo, 708 Street 33, Block B Block C Multi Gardens B-17, Islamabad, Rawalpindi, Islamabad Capital Territory 44000, Pakistan",Ali,X,UG,CS,M
"Ground Floor, J7 Emporium, Block C Multi Gardens B-17, Islamabad, Islamabad Capital Territory 44010, Pakistan",Raza,X,PG,CS,F
"Shop Ground Floor, Capital Square, Block C Multi Gardens B-17, Islamabad, Rawalpindi, Islamabad Capital Territory, Pakistan",Zain,X,G,MG,F
"MRVF+CHG, Street 33, Block A Sector B-17 Multi Gardens B-17, Islamabad, Rawalpindi, Islamabad Capital Territory, Pakistan",Malik,X,PG,EE,F
"MRQ7+MC7, Unnamed Road, Islamabad, Rawalpindi, Islamabad Capital Territory, Pakistan",Hassaan,X,UG,SH,M
"MRJ3+WC7, Islamabad, Rawalpindi, Punjab, Pakistan",Naushad,X,G,AMHS,F
"J33M+3HV, Chaklala Cantt., Rawalpindi, Punjab 46000, Pakistan",Abdullah,X,PG,SH,M
"Bank Rd, Saddar, Rawalpindi, Punjab 46000, Pakistan",Safadar,X,UG,EE,M
"M65, 6/A Adam Jee Rd, near GTS Adda, Saddar, Rawalpindi, Punjab 46000, Pakistan",Ameen,X,G,SH,F
"H3X4+3QW, Kashmir Rd, Saddar, Rawalpindi, Punjab 46000, Pakistan",Ullah,X,G,AMHS,F
"Murree Road? Saddar, Rawalpindi, Punjab 46000, Pakistan",Abdul,X,UG,AMHS,F
"Bank Rd, Saddar, Rawalpindi, Punjab 46000, Pakistan",Rehman,X,PG,SH,M
"The Mall Rd, Rawalpindi, Punjab 46000, Pakistan",Zameer,X,G,EE,F
"Tamiz-ud-Din Rd, Rawalpindi, Punjab 46000, Pakistan",Mawra,X,G,CS,M
"H3W3+7P7, 3297 Adam Jee Rd, Saddar, Rawalpindi, Punjab 46000, Pakistan",Hasan,X,UG,CS,F
"H3X3+Q85, Saddar, Rawalpindi, Punjab 46000, Pakistan",Ibrahim,X,PG,CS,F
"J323+FV9, Madina Market, Adamjee Rd, Ahata Mithu Khan, Saddar, Saddar, Rawalpindi, Punjab 46000, Pakistan",Ameen,X,G,AMHS,M
"24-25 GF Majeed Plaza Saddar, Bank Rd, Saddar, Rawalpindi, Punjab 46000, Pakistan",Adil,X,PG,SH,M
"Office 5 & 6,2nd Floor, Karachi Company, Mall 9 Plaza, Markaz G 9 Markaz G-9, Islamabad, Islamabad Capital Territory 44000, Pakistan",Khan,X,UG,AMHS,M
